eV   W/mA     phot/mAs
        559.990    1.17507E-09    1.30971E+07
        559.990    1.17452E-09    1.30909E+07
        565.004    1.23891E-09    1.36860E+07
        569.997    1.33337E-09    1.46005E+07
        575.002    1.43536E-09    1.55805E+07
        580.002    1.54407E-09    1.66160E+07
        585.001    1.62742E-09    1.73633E+07
        589.997    1.69049E-09    1.78835E+07
        594.990    1.75988E-09    1.84613E+07
        600.004    1.83600E-09    1.90989E+07
        605.000    1.90967E-09    1.97012E+07
        609.990    1.97457E-09    2.02041E+07
        615.004    2.03854E-09    2.06886E+07
        620.005    2.10759E-09    2.12169E+07
        625.003    2.17671E-09    2.17374E+07
        629.997    2.24161E-09    2.22081E+07
        635.002    2.30366E-09    2.26430E+07
        639.999    2.36097E-09    2.30250E+07
        645.006    2.45318E-09    2.37387E+07
        649.998    2.58292E-09    2.48021E+07
        654.996    2.68294E-09    2.55660E+07
        659.999    2.75993E-09    2.61002E+07
        665.001    2.83393E-09    2.65985E+07
        669.999    2.91017E-09    2.71102E+07
        675.000    2.99333E-09    2.76783E+07
        679.990    3.06479E-09    2.81312E+07
        684.988    3.10326E-09    2.82765E+07
        690.003    3.14643E-09    2.84615E+07
        695.003    3.20430E-09    2.87764E+07
        699.995    3.18537E-09    2.84024E+07
        699.995    2.20957E-09    1.97016E+07
        705.006    5.56548E-09    4.92719E+07
        710.000    5.72957E-09    5.03678E+07
        714.999    5.90991E-09    5.15900E+07
        719.997    6.07580E-09    5.26699E+07
        725.004    6.26057E-09    5.38969E+07
        729.992    6.43461E-09    5.50166E+07
        735.002    6.61089E-09    5.61386E+07
        739.993    6.78831E-09    5.72563E+07
        745.001    6.96725E-09    5.83706E+07
        750.004    7.13833E-09    5.94050E+07
        755.007    7.30589E-09    6.03965E+07
        760.002    7.46548E-09    6.13102E+07
        765.001    7.64502E-09    6.23744E+07
        769.997    7.85240E-09    6.36507E+07
        774.998    8.08629E-09    6.51237E+07
        779.995    8.30312E-09    6.64415E+07
        784.999    8.48418E-09    6.74575E+07
